seller_id,seller_zip_code_prefix,seller_city,seller_state,total_orders,total_products_sold,total_revenue,average_product_price,average_freight,average_review_score,average_delivery_time,seller_tier,seller_rating
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,3,3,218.7,72.89999999999999,9.299999999999999,3.0,12.666666666666666,Growing,Average
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,40,41,11703.07,285.44073170731707,35.0909756097561,4.560975609756097,8.625,Top Seller,Not Rated
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,1,1,158.0,158.0,16.21,5.0,4.0,Emerging,Excellent
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,1,1,79.99,79.99,15.66,5.0,5.0,Emerging,Excellent
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,1,1,167.99,167.99,31.93,1.0,35.0,Emerging,Poor
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,1,1,59.9,59.9,13.99,4.0,6.0,Emerging,Good
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,35,36,3654.25,101.50694444444444,32.65166666666667,4.416666666666667,11.114285714285714,Top Seller,Not Rated
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,30,33,3987.6,120.83636363636363,27.582727272727272,4.242424242424242,10.96774193548387,Top Seller,Not Rated
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,17,17,587.46,34.5564705882353,10.602352941176472,4.647058823529412,4.588235294117647,Growing,Not Rated
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,187,192,74004.62,385.44072916666664,27.380104166666666,4.282722513089006,15.365079365079366,Top Seller,Not Rated
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,2,2,138.0,69.0,22.185,3.0,16.0,Emerging,Average
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,3,4,307.6,76.9,16.3675,3.75,8.75,Growing,Not Rated
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,33,35,4455.34,127.29542857142857,27.65657142857143,4.205882352941177,9.542857142857143,Top Seller,Not Rated
05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,1,1,42.9,42.9,16.49,5.0,11.0,Emerging,Excellent
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,5,5,2244.2799999999997,448.85599999999994,74.404,4.8,21.4,Established,Not Rated
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,1,1,2749.0,2749.0,69.74,1.0,10.0,Established,Poor
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC,2,2,78.8,39.4,15.1,5.0,14.0,Emerging,Excellent
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,30,32,2066.8,64.5875,20.9609375,4.5,12.21875,Established,Not Rated
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA,14,15,1320.7,88.04666666666667,30.282666666666668,3.7,12.266666666666667,Established,Not Rated
f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,SP,9,9,519.2,57.6888888888889,13.214444444444446,4.777777777777778,5.888888888888889,Growing,Not Rated
4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP,3,3,684.0,228.0,18.833333333333332,3.6666666666666665,5.333333333333333,Growing,Not Rated
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP,8,8,1254.2,156.775,19.39875,3.125,24.285714285714285,Established,Not Rated
